percentile,value
0,-0.9975997
1,-0.94804037
2,-0.92156696
3,-0.8987961
4,-0.8778153
5,-0.85623574
6,-0.8365986
7,-0.81727964
8,-0.7975087
9,-0.778906
10,-0.7603774
11,-0.7412536
12,-0.7221697
13,-0.7029247
14,-0.6841532
15,-0.6648811
16,-0.6463132
17,-0.6272193
18,-0.60801446
19,-0.5890367
20,-0.57006395
21,-0.55143946
22,-0.5322087
23,-0.51376235
24,-0.49476004
25,-0.4758094
26,-0.45677954
27,-0.43836778
28,-0.41894227
29,-0.39976406
30,-0.38140064
31,-0.3617221
32,-0.34265226
33,-0.32382995
34,-0.3047604
35,-0.28569114
36,-0.2665642
37,-0.2479617
38,-0.22904009
39,-0.21004826
40,-0.19066334
41,-0.17152435
42,-0.15257198
43,-0.13361686
44,-0.114647865
45,-0.09512657
46,-0.074460804
47,-0.05545765
48,-0.035757124
49,-0.016270578
50,0.002260387
51,0.021613657
52,0.041252494
53,0.06045556
54,0.0795033
55,0.0980584
56,0.11670244
57,0.13594884
58,0.1550057
59,0.1740284
60,0.19254225
61,0.21124715
62,0.22960043
63,0.24918902
64,0.26781058
65,0.28711718
66,0.30743784
67,0.32732815
68,0.34648448
69,0.36562765
70,0.38526905
71,0.4042238
72,0.423392
73,0.44297713
74,0.4615661
75,0.48065436
76,0.49982345
77,0.5184153
78,0.5369311
79,0.55520624
80,0.574489
81,0.5935849
82,0.61273867
83,0.6315408
84,0.6497668
85,0.66845757
86,0.68709505
87,0.7050543
88,0.7233379
89,0.74151516
90,0.7610295
91,0.7803488
92,0.7993604
93,0.81851625
94,0.8380866
95,0.8586906
96,0.87959605
97,0.9009893
98,0.9234001
99,0.94899684
100,0.99647534
