bin_centre,count
-0.7566712,1
-0.74168444,1
-0.7266977,0
-0.71171093,1
-0.6967242,6
-0.6817374,7
-0.66675067,9
-0.6517639,32
-0.6367771,33
-0.62179035,45
-0.6068036,56
-0.59181684,95
-0.5768301,127
-0.56184334,186
-0.5468566,224
-0.5318698,272
-0.5168831,329
-0.50189626,399
-0.48690954,532
-0.47192279,601
-0.45693603,695
-0.44194928,840
-0.42696252,985
-0.41197574,1171
-0.396989,1310
-0.38200223,1390
-0.36701548,1639
-0.35202873,1799
-0.33704197,1964
-0.3220552,2255
-0.30706844,2364
-0.29208168,2587
-0.27709493,2712
-0.26210818,2954
-0.2471214,3026
-0.23213464,3291
-0.21714789,3392
-0.20216113,3658
-0.18717438,3822
-0.17218763,4008
-0.15720087,4149
-0.14221412,4201
-0.12722737,4438
-0.11224061,4509
-0.09725386,4675
-0.082267046,4722
-0.06728029,4797
-0.05229354,4882
-0.037306786,4892
-0.02232003,4792
-0.0073332763,4916
0.007653477,4917
0.02264023,5026
0.03762698,4924
0.052613735,4925
0.06760049,4906
0.08258724,4684
0.097573996,4444
0.11256081,4483
0.12754756,4332
0.14253432,4231
0.15752107,4042
0.17250782,4094
0.18749458,3826
0.20248133,3606
0.21746808,3438
0.23245484,3396
0.24744165,3120
0.2624284,3054
0.27741516,2847
0.2924019,2454
0.30738866,2359
0.32237542,2204
0.33736217,2017
0.35234892,1742
0.36733568,1611
0.38232243,1433
0.39730918,1280
0.41229594,1151
0.4272827,1021
0.44226944,877
0.4572562,723
0.47224295,634
0.4872297,522
0.50221646,406
0.5172032,321
0.53218997,294
0.5471767,214
0.5621635,194
0.5771502,155
0.5921371,84
0.60712385,75
0.6221106,58
0.63709736,35
0.6520841,19
0.66707087,13
0.6820576,9
0.6970444,3
0.7120311,4
0.7270179,1
